Condition,RoundNo.,ForestType,ForestNo.,ColSize,food_type,supplied_by,Trials,Time,No.Ants
Light,2,Rainforest,2,1407,tuna,cube,tuna_cube,20,0
Light,2,Rainforest,2,1407,tuna,cube,tuna_cube,30,0
Light,2,Rainforest,2,1407,tuna,cube,tuna_cube,40,0
Light,2,Rainforest,2,1407,tuna,cube,tuna_cube,50,0
Light,2,Rainforest,2,1407,tuna,cube,tuna_cube,60,0
Light,2,Rainforest,2,1407,tuna,caterpillar,tuna_caterpillar,10,2
Light,2,Rainforest,2,1407,tuna,caterpillar,tuna_caterpillar,20,0
Light,2,Rainforest,2,1407,tuna,caterpillar,tuna_caterpillar,30,1
Light,2,Rainforest,2,1407,tuna,caterpillar,tuna_caterpillar,40,0
Light,2,Rainforest,2,1407,tuna,caterpillar,tuna_caterpillar,50,2
Light,2,Rainforest,2,1407,tuna,caterpillar,tuna_caterpillar,60,2
Light,2,Rainforest,3,16964,termite,cube,termite_cube,10,2
Light,2,Rainforest,3,16964,termite,cube,termite_cube,20,1
Light,2,Rainforest,3,16964,termite,cube,termite_cube,30,0
Light,2,Rainforest,3,16964,termite,cube,termite_cube,40,2
Light,2,Rainforest,3,16964,termite,cube,termite_cube,50,4
Light,2,Rainforest,3,16964,termite,cube,termite_cube,60,2
Light,2,Rainforest,3,16964,termite,caterpillar,termite_caterpillar,10,0
Light,2,Rainforest,3,16964,termite,caterpillar,termite_caterpillar,20,1
Light,2,Rainforest,3,16964,termite,caterpillar,termite_caterpillar,30,0
Light,2,Rainforest,3,16964,termite,caterpillar,termite_caterpillar,40,1
Light,2,Rainforest,3,16964,termite,caterpillar,termite_caterpillar,50,2
Light,2,Rainforest,3,16964,termite,caterpillar,termite_caterpillar,60,0
Light,2,Rainforest,3,16964,tuna,cube,tuna_cube,10,10
Light,2,Rainforest,3,16964,tuna,cube,tuna_cube,20,25
Light,2,Rainforest,3,16964,tuna,cube,tuna_cube,30,40
Light,2,Rainforest,3,16964,tuna,cube,tuna_cube,40,45
Light,2,Rainforest,3,16964,tuna,cube,tuna_cube,50,41
Light,2,Rainforest,3,16964,tuna,cube,tuna_cube,60,40
Light,2,Rainforest,3,16964,tuna,caterpillar,tuna_caterpillar,10,2
Light,2,Rainforest,3,16964,tuna,caterpillar,tuna_caterpillar,20,6
Light,2,Rainforest,3,16964,tuna,caterpillar,tuna_caterpillar,30,8
Light,2,Rainforest,3,16964,tuna,caterpillar,tuna_caterpillar,40,9
Light,2,Rainforest,3,16964,tuna,caterpillar,tuna_caterpillar,50,11
Light,2,Rainforest,3,16964,tuna,caterpillar,tuna_caterpillar,60,7
Light,2,RubberForest,4,879,termite,cube,termite_cube,10,0
Light,2,RubberForest,4,879,termite,cube,termite_cube,20,1
Light,2,RubberForest,4,879,termite,cube,termite_cube,30,3
Light,2,RubberForest,4,879,termite,cube,termite_cube,40,0
Light,2,RubberForest,4,879,termite,cube,termite_cube,50,1
Light,2,RubberForest,4,879,termite,cube,termite_cube,60,0
Light,2,RubberForest,4,879,termite,caterpillar,termite_caterpillar,10,0
Light,2,RubberForest,4,879,termite,caterpillar,termite_caterpillar,20,0
Light,2,RubberForest,4,879,termite,caterpillar,termite_caterpillar,30,0
Light,2,RubberForest,4,879,termite,caterpillar,termite_caterpillar,40,0
Light,2,RubberForest,4,879,termite,caterpillar,termite_caterpillar,50,0
Light,2,RubberForest,4,879,termite,caterpillar,termite_caterpillar,60,1
Light,2,RubberForest,4,879,tuna,cube,tuna_cube,10,2
Light,2,RubberForest,4,879,tuna,cube,tuna_cube,20,3
